topic_0,topic parameter theta sub generate smoothing generating compute probabilistic algorithm lambda pi maximize plsa normalize generative query constraint
topic_1,entropy conditional eats predict syntagmatic w1 scenario compute pseudo discovering w2 biased
topic_2,topic classifier contextual separator constraint plsa retrieval predictor optimize generate
topic_3,query idf ranking retrieval tf weighting bm25 normalization similarity compute ranked d3 user d2 heuristic
topic_4,query user retrieval feedback web ranking algorithm scoring inverted filtering
topic_5,parameter similarity reviewer classifier paradigmatic regression eats beta syntagmatic sub logistical predict compute discovering weighted latent query
topic_6,user id surfer filtering unary similarity coding pagerank metric d1 preference integer matrix parsing inverted collaborative gamma web decode compute encoded citation algorithm sub
topic_7,clustering similarity algorithm bias matrix generate baseline pagerank transpose iteratively ass
topic_8,topic user browsing dcg causal correlated query versus ranked connect
topic_9,tag discriminative polarity overfitting parse biologist gene enrich misspell exhaustivity discriminating generalize infrequent thesaurus robust enriches characterize ontology generate syntactic classify categorization
topic_10,categorization retrieval nlp topic semantic algorithm robust domain infer email
